@relation predic
@attribute len real
@attribute nonsynvar real
@attribute synvar real
@attribute issuespe {1, 0}
@attribute expr real
@attribute reptime real
@attribute hi real
@attribute rec real
@attribute constaint_score real
@attribute Genic_score real
@attribute tr_count_all real
@attribute GC_content real
@attribute tr_coding_only_length real
@attribute Non_Conding_tr_count real
@attribute case {no,yes}
@data
1.105,14.0,7.0,0,2.37142,672.0,0.32466,0.1141,1.1748893,0.4171350401,1,46.27,5995.0,0,yes
1.3,20.0,15.0,0,0.000001,0.000001,0.05516,0.22144,0.803711091,-0.3801660072,1,51.36,3762.0,0,yes
1.129,3.0,2.0,0,0.000001,0.000001,0.13118,0.12149,0.000001,0.000001,1,0.000001,27545.0,0,yes
2.684,15.0,29.0,0,0.17424,692.0,0.41887,0.47757,2.271432966,-0.4885778835,9,40.93,251220.33333333334,0,yes
1.557,20.0,21.0,0,4.93265,371.0,0.92997,0.44126,1.630763753,-1.0213484528,8,54.84,7672.0,2,yes
1.789,8.0,9.0,1,3.1383,252.0,0.46401,0.24608,2.594770736,-0.1835708609,7,35.08,79019.66666666667,4,yes
2.855,38.0,16.0,0,7.15889,277.0,0.20448,0.10172,1.914283344,0.0918990122,3,43.55,69073.33333333333,0,yes
0.702,10.0,3.0,0,1.76444,628.0,0.70999,0.71389,1.090259424,0.1930342957,7,46.08,21794.0,0,yes
3.959,36.0,18.0,0,6.96745,502.0,0.49753,0.16376,1.704664097,-1.2400182017,18,41.24,81428.4,8,yes
3.202,21.0,16.0,0,1.28578,311.0,0.31853,0.24651,2.504865967,0.2664479418,8,36.02,71578.5,4,yes
2.095,26.0,21.0,0,1.27792,737.0,0.58302,0.38768,1.760565513,-0.9533859014,7,47.73,71835.33333333333,5,yes
2.207,36.0,19.0,0,7.75543,587.0,0.0627,0.40821,-0.667476037,2.2727901396,6,39.78,43880.333333333336,3,yes
1.274,14.0,8.0,0,0.03636,1003.0,0.49665,0.20425,2.296690921,-0.2037968257,2,58.78,1255.5,0,yes
0.96,0.0,8.0,0,3.0828,376.0,0.6287,0.28104,3.609127707,0.1250766517,2,52.1,3282.0,0,yes
3.025,39.0,42.0,0,2.55838,313.0,0.53739,0.1106,2.86938523,-1.3889360997,5,51.99,71246.66666666667,2,yes
0.414,2.0,2.0,0,9.62066,151.0,0.000001,0.000001,0.000001,0.000001,2,44.06,41794.0,0,yes
3.82,42.0,31.0,0,0.000001,0.000001,0.000001,0.000001,2.221403066,0.000001,17,36.82,43869.5,15,yes
0.692,4.0,8.0,0,1.48748,632.0,0.59853,0.75237,1.411207937,-0.0072013718,5,42.22,4708.0,1,yes
