Gene,ISPP_AD,ISPP_AR,ISPP_XL,ISPP_PAE,HI,REC,CONS,RVIS,NET,GDI
NR2C2,0.04696811391818613,0.032782378312242545,*,0.012639377412822391,0.19105,0.1841,2.374467585,-0.88906181,1,23.28419
ATF1,0.01959895958511312,0.04044987157905007,*,0.012926734336633662,0.89892,0.18118,1.689261135,0.2591737101,0.99901419717369,91.37091
EPM2AIP1,0.09757046743833606,0.03784239397922745,*,0.012653870948284804,0.000001,0.000001,3.922668556,-0.0053819721,0.913768776187086,25.37407
ATF2,0.08842255683107648,0.006380036038077174,*,0.01673342471269979,0.88198,0.28104,1.074865449,-0.7145054274,0.99942754535747,21.91257
NR2C1,0.0063210315975903006,0.03555621788203997,*,0.020602928824974418,0.19199,0.14442,1.030068961,-0.5142644846,0.989488793159383,61.68056
QSER1,0.014549584527420714,0.024001321148810484,*,0.03581473727775869,0.56585,0.09696,0.769027463,-0.2315229133,0.157777337636912,711.28789
VRTN,0.0,0.02723227798956602,*,0.01262670770486368,0.000001,0.000001,1.570879552,-0.3508434071,0.114371359811310,96.19087
TFEC,0.01268055490814521,0.0621238141164942,*,0.01882297636342989,0.2877,0.18291,0.9474087,0.2609916862,0.657070824429942,212.26623
MANEA,0.0,0.0593443792334574,*,0.025773766679630692,0.47462,0.10826,-0.807574275,0.1323521652,0.128075041292853,1247.59973
TFF2,0.017588224118781432,0.04856823054858434,*,0.06430850709026727,0.0909,0.21453,0.000001,0.5475995055,0.53917561279198,73.67066
SCN9A,0.03197142765323092,0.10859124206640233,*,0.7494159413656352,0.32351,0.19894,-0.010544475,0.3342338237,0.178701449135026,2905.67056
TFF3,0.0,0.0,*,0.04351410241190763,0.000001,0.000001,0.000001,0.3914539693,0.00287792487965322,28.49508
TFF1,0.0,0.09353578744533358,*,0.03103067090014892,0.12999,0.25471,0.000001,0.5255523478,0.687857449730247,28.67165
ARHGDIA,0.08193005642379288,0.7314976330926652,*,0.07428192942835604,0.000001,0.000001,2.099943656,-0.2515300117,0.97255337155666,53.81777
ARHGDIB,0.01739311549500683,0.018888618415221842,*,0.006242954092686672,0.18465,0.15699,1.001444201,-0.0512938299,0.987455146653342,17.3747
OR1I1,0.0,0.0,*,0.009445704237753861,0.04546,0.08475,0.982609447,2.2636667966,0.149732503009904,10847.98862
SHPRH,0.07062490641547199,0.006352509333840213,*,0.018584170363307628,0.13185,0.10634,2.312062773,-1.0563707756,0.751431579321446,331.48456
